"Annual_measure","SD_of_measure","Use1_0","Name","Units","Description","Region","Time_period","Source"
16690.9057,1669.09057,1,"Obs_TAPP","mMN/m2/y","Annual_total_primary_production","Southern_Benguela","1978-2015","Shannon et al. 2020"
NA,NA,0,"Obs_NP","mMN/m2/y","Annual_new_production_from_depth_integrated_nitrate_plus_summer_river_and_atmos_inputs",NA,NA,"Insufficient_data"
NA,NA,0,"Obs_KelpP","gC/m2/y","Annual_WITHIN_FOREST_NET_production_of_macrophytes",NA,NA,"Insufficient_data"
1991.669182,1493.751887,1,"Obs_OmnizooP","mMN/m2/y","Annual_ominiv_zooplankton_gross_production","Southern_Benguela","1978-2015","Shannon et al. 2020"
53.41861634,40.06396226,1,"Obs_CarnzooP","mMN/m2/y","Annual_carnivorous_zooplankton_gross_production","Southern_Benguela","1978-2015","Shannon et al. 2020"
70.53194717,52.89896038,0,"Obs_PFishP","mMN/m2/y","Annual_planktivorous_fish_gross_production","Southern_Benguela","1978-2015","Shannon et al. 2020"
17.67972327,13.25979245,1,"Obs_DFishP","mMN/m2/y","Annual_demersal_fish_gross_production","Southern_Benguela","1978-2015","Shannon et al. 2020"
56.1375,42.1375,1,"Obs_BensuspP","mMN/m2/y","Annual_susp/dep_benthos_gross_production","Southern_Benguela","1978-2015","Shannon et al. 2020"
1.7449,1.3687,1,"Obs_BencarnP","mMN/m2/y","Annual_carn/scan_benthos_gross_production","Southern_Benguela","1978-2015","Shannon et al. 2020"
0.03,0.0225,1,"Obs_birdP","mMN/m2/y","Annual_net_production_of_birds","Southern_Benguela","1978-2015","Shannon et al. 2020"
0.0836,0.0627,1,"Obs_sealP","mMN/m2/y","Annual_net_production_of_pinnipeds","Southern_Benguela","1978-2015","Shannon et al. 2020"
0.0313,0.0235,1,"Obs_cetaP","mMN/m2/y","Annual_net_production_of_cetaceans","Southern_Benguela","1978-2015","Shannon et al. 2020"
NA,NA,0,"Obs_maxbenthslar",NA,"Annual_monthly_max_conc_of_benthos_susp/dep_larvae",NA,NA,"Insufficient_data"
NA,NA,0,"Obs_maxbenthclar",NA,"Annual_monthly_max_conc_of_benthos_carn/scav_larvae",NA,NA,"Insufficient_data"
35.59925547,26.6994416,1,"Obs_Conpfishfish","mMN/m2/y","Annual_consumption_of_planktivorous_fish_by_fish","Southern_Benguela","1978-2015","Shannon et al. 2020"
9.010977671,6.758233253,1,"Obs_Condfishfish","mMN/m2/y","Annual_consumption_of_demersal_fish_by_fish","Southern_Benguela","1978-2015","Shannon et al. 2020"
504.8725785,378.6544339,1,"Obs_Conzoofish","mMN/m2/y","Annual_consumption_of_omniv_zooplankton_by_fish_and_fish_larvae","Southern_Benguela","1978-2015","Shannon et al. 2020"
8.911949684,6.683962263,0,"Obs_Conzoocarnz","mMN/m2/y","Annual_consumption_of_omniv_zooplankton_by_carn_zooplankton","Southern_Benguela","1978-2015","Shannon et al. 2020"
18.8512,14.1384,1,"Obs_Conbenfish","mMN/m2/y","Annual_consumption_of_benthos_by_fish","Southern_Benguela","1978-2015","Shannon et al. 2020"
7.441362,5.5810215,1,"Obs_Contotal_bird","mMN/m2/y","Annual_food_consumption_by_birds","Southern_Benguela","1978-2015","Shannon et al. 2020"
0.450416667,0.3378125,1,"Obs_Proppfishbird","dimensionless","Proportion_planktivorous_fish_in_diet_of_birds","Southern_Benguela","1978-2015","Shannon et al. 2020"
